gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,symbol
ENSG00000152583,997.9611681528436,4.570944084711218,0.18424376901198272,24.809219379429525,7.129668199361539e-136,5.641706446154785e-132,SPARCL1,SPARCL1
ENSG00000165995,495.5674980081677,3.2870829783639715,0.1324522638841425,24.81711434724302,5.859406932807996e-136,5.641706446154785e-132,CACNB2,CACNB2
ENSG00000120129,3411.966096469383,2.943858801100602,0.12214454172558602,24.101435557508356,2.4145598106039213e-128,1.2737607854205885e-124,DUSP1,DUSP1
ENSG00000101347,12712.945612705847,3.763021267130177,0.15643772584362492,24.054436018148788,7.50158392102697e-128,2.9680016783543205e-124,SAMHD1,SAMHD1
ENSG00000189221,2343.5733492497707,3.349721400493493,0.14221410776520954,23.55407246954546,1.1403461872731616e-122,3.609423751957011e-119,MAOA,MAOA
ENSG00000211445,12298.19663089589,3.726414633802008,0.16721860734024183,22.28468884578033,5.2017074674374044e-110,1.3720370396610725e-106,GPX3,GPX3
ENSG00000157214,3012.8579771523264,1.972783039144279,0.09088482258904033,21.706407989205605,1.7847273641517377e-104,4.0350136092950567e-101,STEAP2,STEAP2
ENSG00000162614,5399.135973201398,2.031696678764467,0.09574480864695865,21.219914765885367,6.253728681222363e-100,1.237143876362814e-96,NEXN,NEXN
ENSG00000125148,3659.6960209728186,2.2070061638347407,0.10691516158427057,20.64259297868785,1.1379122476662839e-94,2.0009554701740676e-91,MT2A,MT2A
ENSG00000154734,30345.848613555874,2.341632022867072,0.1175362528187961,19.922636350140678,2.5898938548787454e-88,4.098766014731102e-85,ADAMTS1,ADAMTS1
ENSG00000139132,1224.5679365550875,2.224907367819456,0.11289466696169083,19.70781638936449,1.847696236729439e-86,2.6583309674981912e-83,FGD4,FGD4
ENSG00000162493,1100.7829668073869,1.8872891006317831,0.09621433675494273,19.61546651242523,1.14085460428697e-85,1.5045970806204654e-82,PDPN,PDPN
ENSG00000162692,509.6577469533382,-3.6962646005391737,0.18972040434858672,-19.482694089918578,1.539608212725802e-84,1.8649574260136145e-81,VCAM1,VCAM1
ENSG00000179094,777.098912422347,3.1877746818461534,0.16365055778323195,19.479155616863903,1.649779095424656e-84,1.8649574260136145e-81,PER1,PER1
ENSG00000134243,5516.902976968288,2.1917166875359597,0.11276892956559764,19.435465921143102,3.868856904142183e-84,4.081901957663612e-81,SORT1,SORT1
ENSG00000163884,561.4143679775791,4.455334278353062,0.23399388479304647,19.04038766779541,7.894118143323242e-81,7.808269608514602e-78,KLF15,KLF15
ENSG00000178695,2657.2182621372203,-2.532215170589768,0.13572744778435275,-18.656618185387355,1.1157269470504307e-77,1.0386761567070657e-74,KCTD12,KCTD12
ENSG00000148848,1368.6695443603323,-1.818444072631877,0.10075931587301797,-18.04740392365876,8.268700692533651e-73,7.270025397779863e-70,ADAM12,ADAM12
ENSG00000146250,314.66975497626635,-2.7600818892787284,0.1534032733835915,-17.992327206584598,2.2376030701629172e-72,1.8638055888630698e-69,PRSS35,PRSS35
ENSG00000198624,2059.0279070300867,2.9144763618010376,0.16243202259922093,17.942745002887236,5.468574497120657e-72,4.3272829995715757e-69,CCDC69,CCDC69
ENSG00000107562,25196.545538432365,-1.91564377035043,0.10694643904277003,-17.912179101020143,9.47523500083459e-72,7.140717577295629e-69,CXCL12,CXCL12
ENSG00000106976,887.0170393051591,-1.760257690189318,0.09984339121433783,-17.630187324171533,1.4448754369759032e-69,1.0393908484354838e-66,DNM1,DNM1
ENSG00000154930,670.8327392105633,1.8944914858615145,0.10858385457208508,17.44726684577058,3.6110307081098058e-68,2.484703129849817e-65,ACSS1,ACSS1
ENSG00000163394,1220.867793884226,-2.1926934651439103,0.12607518350726926,-17.391951406657945,9.494583266870835e-68,6.260886449229076e-65,CCKAR,CCKAR
