ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070169,positive regulation of biomineral tissue development,8/791,54/18860,0.14814814814814814,3.5323313199419393,3.898968293173616,0.001738904358026335,0.02383122407100158,0.01864586787070021,GPM6B/FBN2/TMEM119/TENT5A/PKDCC/P2RX7/CCN1/TFAP2A,8
GO:0051494,negative regulation of cytoskeleton organization,16/791,167/18860,0.09580838323353294,2.284381931459458,3.4881361891220735,0.0018005244838394,0.02460716794580513,0.019252976717545865,LMOD1/ARHGEF2/ARHGAP28/MYADM/PIK3R1/S1PR1/CORO2B/FGF13/CARMIL1/KANK1/BRCA1/DNAI3/SSH2/SPTBN4/CRACD/NAV3,16
GO:0007519,skeletal muscle tissue development,17/791,183/18860,0.09289617486338798,2.2149454588160524,3.4554871366497526,0.001837567896031841,0.025043861630129245,0.019594651686217938,FER1L6/ATF3/CITED2/ABCC9/KLF5/CFLAR/MAFF/DMD/SAP30/SMO/CDON/NR4A1/EGR2/MYOZ2/HLF/MSTN/RCAN1,17
GO:0019229,regulation of vasoconstriction,9/791,67/18860,0.13432835820895522,3.202822801290639,3.779196038765358,0.0018543340670234387,0.02509256104768545,0.019632754760673016,OXTR/LEP/ADRA1B/BDKRB2/AGT/ADRA2A/ARHGAP42/PER2/HTR2A,9
GO:0048485,sympathetic nervous system development,5/791,22/18860,0.22727272727272727,5.41891736582002,4.339006867266422,0.0018601766453890055,0.02509256104768545,0.019632754760673016,SOX4/PLXNA4/SEMA3A/GDNF/NRP2,5
GO:0048670,regulation of collateral sprouting,5/791,22/18860,0.22727272727272727,5.41891736582002,4.339006867266422,0.0018601766453890055,0.02509256104768545,0.019632754760673016,CRABP2/RND2/FGF13/ULK2/NGF,5
GO:0008286,insulin receptor signaling pathway,14/791,137/18860,0.10218978102189781,2.4365351075511916,3.530769141004655,0.0018615416224400788,0.02509256104768545,0.019632754760673016,FOXO1/IRS2/PIK3R1/PIK3R3/LEP/KANK1/SOCS1/TRIB3/SORBS1/PDK4/MSTN/PTPRE/ENPP1/SORL1,14
GO:0014897,striated muscle hypertrophy,12/791,108/18860,0.1111111111111111,2.6492484899564546,3.5962898621367825,0.001898830771714104,0.025404918067173193,0.01987714706282678,KLF15/ERRFI1/FOXO1/PDLIM5/LMCD1/NR4A3/LEP/ATP2A2/PPARG/AGT/PI16/RGS4,12
GO:0051588,regulation of neurotransmitter transport,12/791,108/18860,0.1111111111111111,2.6492484899564546,3.5962898621367825,0.001898830771714104,0.025404918067173193,0.01987714706282678,GPM6B/ATP2A2/GDNF/SLC38A2/MCTP1/CAMK2A/SNCAIP/PER2/NGF/PPFIA2/SYNGR3/RIMS1,12
GO:0019433,triglyceride catabolic process,6/791,32/18860,0.1875,4.470606826801517,4.111107414506925,0.001900205253804824,0.025404918067173193,0.01987714706282678,PNPLA2/ABHD5/PLB1/APOB/LIPE/SORL1,6
GO:0048873,homeostasis of number of cells within a tissue,7/791,43/18860,0.16279069767441862,3.8814570899362013,3.957780504866811,0.0019153502573537155,0.025468981800487244,0.019927271383051316,TUBA1A/P2RX7/SOX9/SMO/VEGFA/RAC3/BRINP1,7
GO:0086091,regulation of heart rate by cardiac conduction,7/791,43/18860,0.16279069767441862,3.8814570899362013,3.957780504866811,0.0019153502573537155,0.025468981800487244,0.019927271383051316,CACNB2/ANK2/SCN1B/KCNE3/CACNA1G/KCND3/PKP2,7
GO:0030098,lymphocyte differentiation,32/791,441/18860,0.07256235827664399,1.7301214628287052,3.246100033236383,0.0019279926036466252,0.02556798816695794,0.020004735285957465,VCAM1/SOX4/ZBTB16/TGFBR2/FZD8/FOXO3/PIK3R1/PIK3R3/SMARCD2/LEP/DUSP10/KLF6/NFIL3/SOCS1/TNFSF13B/FZD5/MAFB/CAMK4/SHB/IL12A/MERTK/PRDM1/BLNK/LFNG/EGR3/INPP5D/IRF4/PLCG2/TNFSF9/ICOSLG/JAG2/DLL4,32
GO:0030832,regulation of actin filament length,15/791,153/18860,0.09803921568627451,2.337572197020401,3.4756928318562887,0.001970009477773218,0.026054964060871596,0.020385751726702483,CXCL12/CDC42EP3/DAAM2/LMOD1/ARHGAP28/MYADM/PRKCE/CARMIL1/KANK1/SSH2/CYFIP2/SPTBN4/CRACD/PAK3/CCL11,15
GO:0034765,regulation of monoatomic ion transmembrane transport,25/791,318/18860,0.07861635220125786,1.8744682711956044,3.290484436865337,0.0020208970366254607,0.026556944933021964,0.020778508262743117,CACNB2/STOM/TRPC6/ABCC9/PRKCE/DMD/CLIC2/FGF13/P2RX7/ANK2/NEDD4L/BDKRB1/STIM2/AGT/UBASH3B/SCN1B/KCNS1/KCNE3/AKAP7/TMC2/NGF/RGS4/KCNS3/JPH2/WNK4,25
GO:0061333,renal tubule morphogenesis,10/791,81/18860,0.12345679012345678,2.943609433284949,3.667716759434804,0.00202415738818765,0.026556944933021964,0.020778508262743117,COL4A1/GDNF/SOX9/LGR4/SMO/VEGFA/AGT/MTSS1/FGF1/WNK4,10
GO:1900076,regulation of cellular response to insulin stimulus,10/791,81/18860,0.12345679012345678,2.943609433284949,3.667716759434804,0.00202415738818765,0.026556944933021964,0.020778508262743117,LEP/KANK1/SOCS1/TRIB3/PPARG/SORBS1/MSTN/PTPRE/ENPP1/SORL1,10
